,6758 東証1部 ソニー(株)（電気機器）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2013-01-04,988,988,963,968,18095400,968
2013-01-07,980,982,953,957,14608900,957
2013-01-08,950,965,937,940,15751400,940
2013-01-09,926,940,918,936,13607400,936
2013-01-10,947,972,943,968,19858600,968
2013-01-11,982,987,975,983,27676700,983
2013-01-15,1000,1008,988,995,25657300,995
2013-01-16,996,997,968,969,22020500,969
2013-01-17,991,1027,981,1024,50675300,1024
2013-01-18,1068,1152,1058,1149,82411500,1149
2013-01-21,1165,1237,1138,1187,98008100,1187
2013-01-22,1200,1226,1160,1192,70634500,1192
2013-01-23,1160,1198,1154,1167,44904400,1167
2013-01-24,1155,1204,1132,1189,53679700,1189
2013-01-25,1245,1296,1241,1290,75952300,1290
2013-01-28,1349,1410,1319,1407,102665300,1407
2013-01-29,1370,1419,1363,1385,81029800,1385
2013-01-30,1375,1394,1358,1383,37473500,1383
2013-01-31,1366,1375,1331,1362,45434700,1362
2013-02-01,1375,1383,1343,1355,34147800,1355
2013-02-04,1425,1493,1421,1457,95196200,1457
2013-02-05,1421,1487,1412,1447,53590500,1447
2013-02-06,1500,1503,1470,1481,42608100,1481
2013-02-07,1488,1551,1482,1519,74492400,1519
2013-02-08,1419,1464,1355,1365,105917400,1365
2013-02-12,1407,1427,1373,1381,42717400,1381
2013-02-13,1351,1358,1288,1304,43054700,1304
2013-02-14,1315,1354,1309,1338,37687300,1338
2013-02-15,1305,1322,1265,1313,38175800,1313
2013-02-18,1355,1366,1318,1329,29661100,1329
2013-02-19,1313,1353,1297,1351,32704300,1351
2013-02-20,1375,1381,1353,1355,28336400,1355
2013-02-21,1364,1375,1327,1331,30712800,1331
2013-02-22,1308,1314,1280,1296,34574800,1296
2013-02-25,1330,1342,1317,1340,26229200,1340
2013-02-26,1287,1316,1283,1290,29318000,1290
2013-02-27,1292,1311,1283,1292,28969500,1292
2013-02-28,1320,1349,1314,1338,27175800,1338
2013-03-01,1345,1403,1333,1390,38656300,1390
2013-03-04,1415,1452,1414,1438,39387000,1438
2013-03-05,1453,1465,1412,1425,28586900,1425
2013-03-06,1450,1465,1437,1462,25580300,1462
2013-03-07,1473,1483,1450,1451,21285100,1451
2013-03-08,1466,1478,1460,1464,22914500,1464
2013-03-11,1485,1516,1483,1508,29153100,1508
2013-03-12,1524,1550,1476,1478,36408300,1478
2013-03-13,1480,1511,1477,1500,24640800,1500
2013-03-14,1505,1509,1484,1503,17218500,1503
2013-03-15,1550,1690,1543,1668,107889900,1668
2013-03-18,1631,1643,1550,1555,54974300,1555
2013-03-19,1610,1682,1605,1661,56795300,1661
2013-03-21,1700,1735,1678,1690,50309500,1690
