,9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2013-01-04,213,222,208,219,56154700,219
2013-01-07,221,222,214,217,22997800,217
2013-01-08,215,217,212,214,17015100,214
2013-01-09,211,213,208,209,16787700,209
2013-01-10,208,250,207,209,241984100,209
2013-01-11,220,230,216,221,58952100,221
2013-01-15,222,226,219,219,27751500,219
2013-01-16,219,220,212,215,21677900,215
2013-01-17,215,217,208,210,22994500,210
2013-01-18,213,221,211,213,29326900,213
2013-01-21,215,215,210,212,13367000,212
2013-01-22,212,215,210,211,14844900,211
2013-01-23,211,218,209,209,29464900,209
2013-01-24,208,208,201,207,22649600,207
2013-01-25,209,210,206,208,13084200,208
2013-01-28,209,209,205,208,10686600,208
2013-01-29,207,214,206,210,23785700,210
2013-01-30,211,216,209,211,28768600,211
2013-01-31,212,213,210,213,13107000,213
2013-02-01,217,220,211,211,37684200,211
2013-02-04,212,213,207,209,16591700,209
2013-02-05,206,208,204,204,14772000,204
2013-02-06,205,207,203,204,13485800,204
2013-02-07,209,211,204,204,22762400,204
2013-02-08,204,205,202,203,13854600,203
2013-02-12,203,204,201,201,13136000,201
2013-02-13,199,199,182,184,41510100,184
2013-02-14,183,187,182,184,13381800,184
2013-02-15,185,195,184,192,32136600,192
2013-02-18,193,201,189,198,29123300,198
2013-02-19,198,200,196,196,13551700,196
2013-02-20,200,215,198,215,73151500,215
2013-02-21,213,218,202,206,61343400,206
2013-02-22,207,207,203,205,16909600,205
2013-02-25,207,212,205,210,29390000,210
2013-02-26,206,210,205,207,18966200,207
2013-02-27,207,213,205,207,20924700,207
2013-02-28,210,213,208,210,24265100,210
2013-03-01,221,226,211,216,106232600,216
2013-03-04,216,221,214,219,35456300,219
2013-03-05,221,231,219,227,80759100,227
2013-03-06,227,227,222,223,27027600,223
2013-03-07,223,224,218,219,14892300,219
2013-03-08,217,218,213,216,21995200,216
2013-03-11,217,217,213,216,13875200,216
2013-03-12,215,216,213,213,10217200,213
2013-03-13,212,213,210,212,9428400,212
2013-03-14,211,214,210,214,8350200,214
2013-03-15,213,216,212,215,17154300,215
2013-03-18,214,215,210,210,11734000,210
2013-03-19,208,214,207,211,13033400,211
2013-03-21,214,219,213,217,21782500,217
2013-03-22,220,222,211,211,21628700,211
2013-03-25,213,218,210,217,16817200,217
2013-03-26,215,223,215,220,31777200,220
2013-03-27,220,238,219,227,80422500,227
2013-03-28,228,237,226,232,48827200,232
2013-03-29,232,256,232,255,144234000,255
2013-04-01,253,287,249,266,306928800,266
2013-04-02,267,274,250,252,115811400,252
2013-04-03,256,316,252,313,356266400,313
