9501 東証1部 東京電力ホールディングス(株)（電気・ガス業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2016-01-04","689","696","680","684","10437900","684"
"2016-01-05","677","694","675","691","12309300","691"
"2016-01-06","695","700","677","681","11706000","681"
"2016-01-07","681","696","679","691","17785600","691"
"2016-01-08","685","692","677","681","20905200","681"
"2016-01-12","671","679","656","659","21341400","659"
"2016-01-13","667","670","658","668","14279500","668"
"2016-01-14","650","652","628","639","15129500","639"
"2016-01-15","643","643","626","631","15172300","631"
"2016-01-18","601","615","593","610","16635900","610"
"2016-01-19","607","616","599","607","14862600","607"
"2016-01-20","601","605","570","572","16499400","572"
"2016-01-21","564","589","548","548","38717300","548"
"2016-01-22","570","589","558","585","25832400","585"
"2016-01-25","591","593","575","585","16147500","585"
"2016-01-26","579","579","562","564","12696500","564"
"2016-01-27","574","589","572","585","14715900","585"
"2016-01-28","580","585","574","576","12250500","576"
"2016-01-29","580","601","572","600","19698100","600"
"2016-02-01","640","641","612","619","18758600","619"
"2016-02-02","613","654","611","644","25294900","644"
"2016-02-03","630","635","611","622","23116700","622"
"2016-02-04","615","629","610","613","16886900","613"
"2016-02-05","605","606","591","601","15111000","601"
"2016-02-08","588","613","586","609","12471200","609"
"2016-02-09","599","605","586","591","19736400","591"
"2016-02-10","588","591","531","549","32844700","549"
"2016-02-12","539","558","522","527","26511900","527"
"2016-02-15","550","583","537","577","23231200","577"
"2016-02-16","574","577","561","563","19114800","563"
"2016-02-17","559","562","532","544","15819100","544"
"2016-02-18","555","575","554","572","22167100","572"
"2016-02-19","571","576","553","565","24817100","565"
"2016-02-22","561","562","550","560","12104400","560"
"2016-02-23","565","582","564","567","20383600","567"
"2016-02-24","562","565","551","554","15956300","554"
"2016-02-25","558","585","557","582","19052100","582"
"2016-02-26","588","609","588","594","17426400","594"
"2016-02-29","604","610","572","572","19005200","572"
"2016-03-01","577","594","570","589","17185200","589"
"2016-03-02","608","611","599","603","16904600","603"
"2016-03-03","605","617","604","611","13697000","611"
"2016-03-04","619","635","613","630","19925500","630"
"2016-03-07","635","635","616","623","12183200","623"
"2016-03-08","615","623","609","617","12790600","617"
"2016-03-09","609","616","603","607","11943900","607"
"2016-03-10","586","602","570","594","34582500","594"
"2016-03-11","587","593","574","585","20451200","585"
"2016-03-14","595","607","589","603","11494200","603"
"2016-03-15","607","611","600","604","10644800","604"
"2016-03-16","598","604","588","588","7927700","588"
"2016-03-17","592","596","576","580","12015100","580"
"2016-03-18","580","588","565","569","18642100","569"
"2016-03-22","578","588","575","584","10841300","584"
"2016-03-23","586","595","584","587","7452400","587"
"2016-03-24","585","589","581","581","7189900","581"
"2016-03-25","580","590","579","586","6437200","586"
"2016-03-28","586","599","586","599","10237400","599"
"2016-03-29","598","610","598","607","11233300","607"
"2016-03-30","607","608","592","592","10514500","592"
"2016-03-31","599","624","589","619","24713800","619"
"2016-04-01","618","622","593","595","19391900","595"
"2016-04-04","593","618","593","611","14666100","611"
"2016-04-05","605","606","593","595","14210100","595"
"2016-04-06","590","606","574","602","23816800","602"
"2016-04-07","599","602","577","582","13934600","582"
"2016-04-08","572","592","562","583","16724700","583"
"2016-04-11","581","583","570","577","10427200","577"
"2016-04-12","580","594","578","589","11599000","589"
"2016-04-13","598","603","593","601","12307900","601"
"2016-04-14","610","624","604","621","23100600","621"
"2016-04-15","612","624","609","620","15615300","620"
"2016-04-18","603","607","590","592","18835800","592"
"2016-04-19","601","609","600","605","15674100","605"
"2016-04-20","614","619","606","608","13543900","608"
"2016-04-21","618","618","608","610","10877400","610"
"2016-04-22","605","609","601","609","13004700","609"
"2016-04-25","610","614","602","610","12855100","610"
"2016-04-26","612","618","599","606","14969900","606"
"2016-04-27","609","614","601","603","12854700","603"
"2016-04-28","604","616","587","590","18732000","590"
"2016-05-02","573","580","558","564","20172700","564"
"2016-05-06","559","561","537","543","17344700","543"
"2016-05-09","550","550","521","526","20552800","526"
"2016-05-10","528","538","523","538","15798900","538"
"2016-05-11","537","546","533","537","13905700","537"
"2016-05-12","529","535","525","535","11559500","535"
"2016-05-13","535","541","527","527","12837900","527"
"2016-05-16","526","528","507","517","13566300","517"
"2016-05-17","518","532","517","531","8875900","531"
"2016-05-18","525","535","522","531","14294400","531"
"2016-05-19","533","535","524","526","12529100","526"
"2016-05-20","530","535","526","532","9861700","532"
"2016-05-23","534","535","520","522","13523800","522"
"2016-05-24","523","523","512","513","9730400","513"
"2016-05-25","520","522","514","515","7830000","515"
"2016-05-26","520","522","510","511","11696000","511"
"2016-05-27","512","513","506","509","13115200","509"
"2016-05-30","506","514","504","512","10549900","512"
"2016-05-31","517","523","514","521","13940800","521"
"2016-06-01","518","518","508","509","17227200","509"
"2016-06-02","509","509","493","495","18713800","495"
"2016-06-03","494","498","479","483","14995000","483"
"2016-06-06","475","486","472","485","18270400","485"
"2016-06-07","487","488","479","480","10332700","480"
"2016-06-08","475","477","468","473","15192900","473"
"2016-06-09","477","480","469","472","12896300","472"
"2016-06-10","471","472","462","467","12616500","467"
"2016-06-13","454","455","442","442","12648100","442"
"2016-06-14","442","448","440","442","14003600","442"
"2016-06-15","438","443","429","438","20503300","438"
"2016-06-16","439","443","427","429","13012700","429"
"2016-06-17","433","436","429","433","18918200","433"
"2016-06-20","435","451","435","442","15733800","442"
"2016-06-21","439","444","433","442","9068500","442"
"2016-06-22","443","444","423","425","15701500","425"
"2016-06-23","427","431","425","430","9030000","430"
"2016-06-24","435","437","387","395","22120300","395"
"2016-06-27","395","419","395","415","13962500","415"
"2016-06-28","407","422","401","415","15267900","415"
"2016-06-29","427","429","415","419","10899400","419"
"2016-06-30","428","435","421","432","14933100","432"
"2016-07-01","435","438","426","428","11071300","428"
"2016-07-04","430","430","420","426","8847500","426"
"2016-07-05","426","430","421","425","8318700","425"
"2016-07-06","417","419","406","412","9716000","412"
"2016-07-07","415","416","406","409","6954200","409"
"2016-07-08","409","410","402","403","8561300","403"
"2016-07-11","413","415","405","411","8266500","411"
"2016-07-12","417","430","416","422","11238000","422"
"2016-07-13","432","437","426","435","12246800","435"
"2016-07-14","439","439","430","430","7193000","430"
"2016-07-15","434","444","431","440","11171300","440"
"2016-07-19","441","443","424","427","10656800","427"
"2016-07-20","420","422","413","421","9675900","421"
"2016-07-21","422","425","416","421","6477900","421"
"2016-07-22","419","424","417","421","7633800","421"
"2016-07-25","423","434","421","429","9739500","429"
"2016-07-26","429","429","415","417","9732000","417"
"2016-07-27","416","422","415","419","8941600","419"
"2016-07-28","419","420","411","412","7057400","412"
"2016-07-29","409","410","395","404","18862500","404"
"2016-08-01","395","396","383","387","18396600","387"
"2016-08-02","381","384","375","375","13210900","375"
"2016-08-03","368","368","354","358","16801800","358"
"2016-08-04","363","365","357","361","12220500","361"
"2016-08-05","361","362","358","360","7159400","360"
"2016-08-08","364","365","354","358","13473900","358"
"2016-08-09","360","362","348","352","14663500","352"
"2016-08-10","353","353","343","346","12910900","346"
"2016-08-12","350","363","349","359","12947300","359"
"2016-08-15","357","359","350","350","7186200","350"
"2016-08-16","350","359","348","348","11277700","348"
"2016-08-17","350","362","349","360","12577700","360"
"2016-08-18","357","357","344","345","17278500","345"
"2016-08-19","349","351","345","348","10923300","348"
"2016-08-22","353","354","349","353","7198800","353"
"2016-08-23","356","375","355","372","26751900","372"
"2016-08-24","377","392","373","378","27361200","378"
"2016-08-25","380","382","367","370","13112900","370"
"2016-08-26","370","370","362","363","10047000","363"
"2016-08-29","364","369","363","366","6490100","366"
"2016-08-30","363","375","357","374","14989200","374"
"2016-08-31","406","424","388","417","97108900","417"
"2016-09-01","430","438","417","422","69687000","422"
"2016-09-02","418","433","411","431","52402000","431"
"2016-09-05","428","452","428","431","67592900","431"
"2016-09-06","432","435","422","434","30813100","434"
"2016-09-07","435","444","432","437","39322900","437"
"2016-09-08","438","439","425","427","27410500","427"
"2016-09-09","426","434","424","431","20131600","431"
"2016-09-12","423","428","418","421","20018400","421"
"2016-09-13","425","425","413","414","17767500","414"
"2016-09-14","406","410","402","404","19892800","404"
"2016-09-15","404","406","398","404","15752100","404"
"2016-09-16","403","415","401","414","20016100","414"
"2016-09-20","411","423","411","419","15589300","419"
"2016-09-21","424","431","415","430","22415200","430"
"2016-09-23","429","430","422","427","13179000","427"
"2016-09-26","429","437","425","431","17352400","431"
"2016-09-27","427","438","424","438","19025900","438"
"2016-09-28","438","440","433","436","11583900","436"
