,ユーザー名,ユーザーid,RT数,いいね数,日時,本文
0,ノブ吉,lotus_nobu,0,2,2020-12-29-07:28:07,「羊を数える」合格できました！ https://t.co/hJ7jzckNBu #RecursionCS #コンピューターサイエンス #プログラミング #独学 #python
1,もりぴ＠50代から始めるプログラミング生涯学習,morifff,0,2,2020-12-29-07:25:19,【Django積み上げ】昨日はviewに直接HTMLを書いてブラウザに表示していましたが、今日はプロジェクトの下にtemplatesフォルダを作成し、その中にHTMLファイルを作成してブラウザ表示まで。明日はDTL（Django Template Language）に挑戦。#Python #Django
2,にゃん! ₍˄·͈༝·͈˄*₎◞ ̑̑ @ if __name__ == '__main__',RX_78F00_GUNDAM,0,1,2020-12-29-07:09:59,"@chqBYIOmA0SYl1F 自分も挑戦して、どうにか出来ました☺️ׁa = [1, 2, 0, 0, 4, 0]l = [x for x in a if x]print(l)ׁ#Python #Python3 #プログラミング を #Android スマホで勉強中 ! https://t.co/q96HXAbmN8"
3,村正,muramasa_9,0,3,2020-12-29-07:05:30,帰宅しました。今日は朝からプログラミング学習漬けです。JavascriptもPythonもだんだんややこしくなってきました（苦笑）楽しんでやってますけどね。#javascript #Python
4,Takahisa Nishikawa (Meteorologist/Data analyst🔰),Meteo9860,0,7,2020-12-29-07:05:05,programing 29日目#シミュレーション 今日はポアソン分布と二項分布のシミュレーション。だんだんテキストも優しさが減ってきて、ググらないとわからなくなってきた。#気象予報士がデータサイエンティストになるまで#techacademy#テックアカデミー#プログラミング初心者 #Python
5,ᅟ,tenzyumasuda,0,8,2020-12-29-07:02:22,SNSアプリ #Discord のチャットを可愛いデコ文字で彩るBOTのプロトタイプを作りました。ひらがなの静音・濁音・半濁音・小文字に対応しています。ぜひ導入して遊んでみてください😁詳細【 https://t.co/jRhs5FyQYf 】#ディスコード #デコ文字 #GitHub #Python #駆け出しエンジニアと繋がりたい
6,ギークラボ長野,glnagano,0,1,2020-12-29-06:51:46,今日のおすすめ記事 【Wikipediaは書く時代から生み出す時代へ ~ Twitterからの自動生成】👍：49 投稿日：2020-12-24 #Qiita #Python https://t.co/bPIovjFYfs
7,いつおん@YouTube動画1日5本ぐらい投稿,itsuon120n,0,2,2020-12-29-06:41:36,いつうたチャンネルで新しい動画を公開しました。【流行語】トレンドワードを謡子さんに歌ってもらいました_2020年12月29日版【アルゴリズム作曲】https://t.co/EmJUXcpYea#音楽 #Python #自動作曲 #トレンドワード #プログラミング #YouTube #NEUTRINO #ニュース
8,しゅんごろ,shungoro_com,0,2,2020-12-29-06:37:30,「XOR」合格できました！ https://t.co/Dti3x7IyGh #RecursionCS #コンピューターサイエンス #プログラミング #独学 #python
9,ゆきや@創薬エンジニア,yukiya285,0,13,2020-12-29-06:34:53,#Python のオブジェクト指向の理解への第一歩！#プログラミング初心者 #駆け出しエンジニアと繋がりたいhttps://t.co/dbkJAv1KOG
10,しゅんごろ,shungoro_com,0,1,2020-12-29-06:33:04,「レスポンシブデザイン(Bootstrap)」合格できました！ https://t.co/ImVYGZDO4u #RecursionCS #コンピューターサイエンス #プログラミング #独学 #python
11,いつおん@YouTube動画1日5本ぐらい投稿,itsuon120n,1,0,2020-12-29-06:29:08,いつおんチャンネルで新しい動画を公開しました。【Automatic Composition】初太-Hatta-V3_No．735【アルゴリズム作曲】 https://t.co/Mj3Gp1vL5H#音楽 #Python #自動作曲 #プログラミング #Youtube
12,じゅりあーに３世　E4甲クリア　甲19,Messiah3rd,1,1,2020-12-29-06:27:30,仮想通貨アービトラージ専らETHでやってほぼ1か月半で利益＋31万オーバー達成やったぜ( ˘ω˘ )ｂそしてありがとうTsurezure@自作アービトラージbot運用中様@goike2013#Python #BTC #ETH #XRP #アービトラージ #自動売買 #仮想通貨初心者 https://t.co/jXdPEOESo0
13,オジサンテクノロジー,OjiTec,0,2,2020-12-29-06:22:50,"Python基本構文の備忘録指定Path(sPath)以下の全てのファイルリスト(list_file)を取得for (base_dir, _ , file_name_list) in os.walk(sPath): for file_name in file_name_list:  y = os.path.join(base_dir, file_name)  list_file.append(y)return list_file#Python #プログラミング"
14,守山志保(shiho.m),ShihoMoriyama,0,1,2020-12-29-05:58:38,@tos #paiza  Cランクまで行けたけど、「長テーブルのうなぎ屋(B練習)」が理解できずに苦しむ😇解説見てもンー？ってことは最初からやり直したほうがいいのかな🥲 #プログラミング勉強中 #プログラミング初心者と繋がりたい #プログラミング初学者 #paizaラーニング #Python
